Size	Resampled	Accept.0	ESS	pos.0	pos.1	
10000	1	0	13.0002	-1.3251	3.03197	
10000	1	0	2822.83	-1.22163	3.17439	
10000	1	0	1245.07	-1.28401	2.9603	
10000	1	0	341.032	-1.45004	3.36451	
10000	1	0	4030.08	-1.46545	3.49263	
10000	1	0	1854.39	-1.69439	3.55906	
10000	1	0	2201.25	-1.62659	3.52711	
10000	1	0	1685.11	-1.48478	3.7954	
10000	1	0	1395.48	-1.26743	3.84091	
10000	1	0	3142.87	-1.12921	3.92459	
10000	1	0	121.316	-1.33938	3.64952	
10000	1	0	922.313	-1.57342	3.88778	
10000	1	0	1630.85	-1.42695	4.16492	
10000	1	0	389.549	-1.44323	3.91735	
10000	1	0	1842.83	-1.57018	3.83457	
10000	1	0	309.126	-1.90664	4.08355	
10000	1	0	2773.86	-1.86581	4.04956	
10000	1	0	2745.7	-1.91176	3.99264	
10000	1	0	3271.13	-1.80763	4.02792	
10000	1	0	571.86	-1.96632	4.40966	
10000	1	0	2384.96	-1.90395	4.35668	
10000	1	0	2977.82	-1.85675	4.58664	
10000	1	0	4283.51	-1.82121	4.6914	
10000	1	0	525.265	-2.11773	4.636	
10000	1	0	3896.18	-2.14224	4.66072	
10000	1	0	2208.67	-2.01897	4.62929	
10000	1	0	914.31	-2.3187	4.7671	
10000	1	0	3119.98	-2.47037	4.8051	
10000	1	0	2833.51	-2.36385	4.97758	
10000	1	0	2313.38	-2.36639	5.27299	
10000	1	0	3717.91	-2.34615	5.48533	
10000	1	0	4214.32	-2.34922	5.54771	
10000	1	0	2400.5	-2.53983	5.75813	
10000	1	0	4573.29	-2.55767	5.88054	
10000	1	0	3969.51	-2.5687	6.09394	
10000	1	0	1344.53	-2.55655	5.97713	
10000	1	0	4336.04	-2.57644	6.15035	
10000	1	0	1442.36	-2.81634	6.40016	
10000	1	0	118.239	-2.96966	6.13548	
10000	1	0	4357.36	-2.98936	6.26762	
10000	1	0	2274.79	-3.0351	6.19431	
10000	1	0	900.302	-2.81917	6.18932	
10000	1	0	2724.18	-2.99464	6.38325	
10000	1	0	2735.39	-3.19667	6.52717	
10000	1	0	611.616	-3.44428	6.88975	
10000	1	0	1869.48	-3.35999	7.18289	
10000	1	0	4388.57	-3.3941	7.36127	
10000	1	0	3790.56	-3.49613	7.40454	
10000	1	0	2529.39	-3.36561	7.51249	
10000	1	0	3105.7	-3.48806	7.51765	
10000	1	0	4192.65	-3.49971	7.71021	
10000	1	0	4219.21	-3.6183	7.84376	
10000	1	0	2857.38	-3.64749	8.12039	
10000	1	0	1525.01	-3.46575	8.17865	
10000	1	0	2008.71	-3.31563	8.40288	
10000	1	0	2200.73	-3.53425	8.46889	
10000	1	0	3186.99	-3.4464	8.52874	
10000	1	0	3067.44	-3.60409	8.72388	
10000	1	0	2704.78	-3.72259	8.69917	
10000	1	0	4090.74	-3.70909	8.8849	
10000	1	0	1572.82	-3.91949	9.16648	
10000	1	0	3624.35	-4.06144	9.34597	
10000	1	0	4469.06	-4.16042	9.45079	
10000	1	0	731.965	-3.9091	9.56177	
10000	1	0	671.639	-3.92771	9.38135	
10000	1	0	941.197	-4.01668	9.22429	
10000	1	0	1162.41	-3.82295	9.46211	
10000	1	0	1723.06	-3.88896	9.79866	
10000	1	0	113.036	-4.326	9.88842	
10000	1	0	1295.87	-4.13938	10.1586	
10000	1	0	3959.63	-4.13347	10.2127	
10000	1	0	4642.58	-4.13566	10.3335	
10000	1	0	3273.73	-4.30096	10.4982	
10000	1	0	3360.89	-4.32363	10.7485	
10000	1	0	384.665	-4.62288	11.103	
10000	1	0	2051.54	-4.85871	11.3049	
10000	1	0	2093.97	-5.09776	11.37	
10000	1	0	3568	-5.19471	11.3913	
10000	1	0	2932.68	-5.38032	11.5993	
10000	1	0	823.569	-5.24137	11.5082	
10000	1	0	3008.11	-5.3143	11.4861	
10000	1	0	4034.96	-5.39578	11.6836	
10000	1	0	2909.93	-5.31904	11.7269	
10000	1	0	1011.11	-5.2067	12.0687	
10000	1	0	321.898	-5.32395	11.8324	
10000	1	0	3996.37	-5.3096	11.9808	
10000	1	0	3263.78	-5.3141	11.9718	
10000	1	0	3368.48	-5.47554	12.1083	
10000	1	0	661.961	-5.39235	12.5132	
10000	1	0	4305.58	-5.43435	12.6873	
10000	1	0	2149.41	-5.66552	12.8626	
10000	1	0	1695.12	-5.53976	12.8416	
10000	1	0	2328.8	-5.66911	13.1285	
10000	1	0	4289.68	-5.76197	13.2295	
10000	1	0	1371.75	-5.81547	13.1069	
10000	1	0	1310.69	-5.78914	12.9742	
10000	1	0	2209.23	-6.01599	13.0503	
10000	1	0	4596.55	-6.05699	13.137	
10000	1	0	1750.25	-6.21082	13.0499	
10000	1	0	1422.61	-6.4427	13.3037	
